Keyword,Title,Detail_URL,Description,Email,Facebook,Instagram,Twitter,Tiktok,ErrorMessage
Tech hubs in Essen,Start-up-City Essen - EWG,https://www.ewg.de/en/start-up-city-essen/,"Start-up-City Essen · 140 Start-ups · 1,700 Start-up employees · 18 Co-working spaces and flexibly usable areas · 30,000 sqm Start-up oriented space.",kai.bonnen@ewg.de,,https://www.instagram.com/upscaler.essen/,,,
Artificial intelligence in Bremen,ArcelorMittal Bremen employs Smart Steel AI software,https://eurometal.net/arcelormittal-bremen-employs-smart-steel-ai-software/,"Jul 28, 2022 — ArcelorMittal Bremen has integrated Smart Steel Technologies' SST Casting artificial intelligence (AI) software, Kallanish learns from the ...",treasurer@eurometal.net,https://www.facebook.com/Eurometal.net/,,https://twitter.com/EUROMETAL_,,
Enterprise solutions in Dresden,Enterprise RAG Challenge,https://www.timetoact-group.at/details/enterprise-rag-challenge,"Dresden · Frankfurt · Hamburg · Hannover · Innsbruck ... Showcase your skills, compete for recognition, and drive enterprise solutions to the next level.",Teaser-Strategie@2x.avif,https://www.facebook.com/TIMETOACTAT,,,,
Digital marketing in Bremen,IGC: Master Management of Digital Transformation,https://www.graduatecenter.org/en/mba-master/management-digitalization-and-transformation-ma.html,Study this full-time Master at IGC in Bremen. Learn how to manage digital transformations in the context of change management ... Digital Sales and Marketing ...,deborah.mintken@hs-bremen.de,https://www.facebook.com/policy.php/,https://www.instagram.com/international.graduate.center/,,,
IT recruitment in Dresden,Experienced personnel provider in saxony and nationwide,https://www.dremo.com/en/about-us/,We have been a reliable partner in contract staffing and recruitment for our customers and employees since 1996. ... dresden@dremo.com. Home · About us · For ...,dresden@dremo.com,https://www.facebook.com/DremoGmbH/,https://www.instagram.com/dremo.germany,,,
Tech hubs in Essen,Destination: Innovation - Essen Solution Center,https://www.univarsolutions.com/destination-innovation-essen-solution-center?srsltid=AfmBOoqcYucEh2NcFG-HmxDZsBR3rwnPWTKj3V7VJTW2YFXMhwQ6E1dm,"Univar Solutions' newest Solution Center, centrally located in Germany, is a flagship innovation center for the Continent, ideally suited and generously sized.",sustainability@univarsolutions.com,https://www.facebook.com/UnivarSolutions/,,https://twitter.com/UnivarSolutions,,
Artificial intelligence in Bremen,German Research Center for Artificial Intelligence (DFKI),https://www.efre-bremen.de/projekte/german-research-center-for-artificial-intelligence-dfki-8793,Support for a research and administration building for the German Research Center for Artificial Intelligence (DFKI) in Bremen ... The DFKI is to be extended so ...,efre.kontakt@wae.bremen.de,,,,,
Enterprise solutions in Dresden,NTT DATA Business Solutions Global Managed Services ...,https://en.itsax.de/partner_profil/itelligence/ntt-data-business-solutions-global-managed-services-gmbh-in-bautzen-und-dresden,"The NTT DATA Business Solutions Global Managed Services GmbH posts open positions for jobs, internships and apprenticeships in 01237 Dresden in Sachsen, 02625 ...",info@ITsax.de,,,,,
Tech innovation in Hannover,Slovak University of Technology: Honouring its legacy ...,https://spectator.sme.sk/business/c/slovak-university-of-technology-honouring-its-legacy-shaping-the-future,"1 day ago — ... Innovation and Praxis at STU. “Up to now, STU graduates have had ... These include prominent universities, like Leibniz University Hannover ...",USERNAME@example.com,,,,,
IT recruitment in Dresden,Job vacancies at International School Dresden | DIS,https://www.dresden-is.de/en/join/work-at-dis/vacancies,"We seek only the very best teachers, administrators and staff in our on-going journey to make the Dresden International School the foremost educator preparing ...",info@dresden-is.de,https://www.facebook.com/DresdenInternationalSchool,https://www.instagram.com/dresden.international.school/,,,
Tech hubs in Essen,"ruhrHUB ▶ for startups, corporates and investors",https://ruhrhub.de/en/,"The ruhrHUB is the digital hub that connects the start-up ecosystem in the Ruhr region. Since 2016, the DWNRW (Digital Economy North Rhine Westphalia) Hub has ...",info@ruhrhub.de,https://www.facebook.com/policy.php/,https://www.instagram.com/ruhrhub/,https://twitter.com/en/privacy,,
Tech hubs in Essen,"Accenture Opens Industry X.0 Innovation Center in Essen, ...",https://newsroom.accenture.com/news/2019/accenture-opens-industry-x0-innovation-center-in-essen-germany-to-help-resources-companies-drive-digital-innovation,"May 21, 2019 — Accenture (NYSE: ACN) has opened an Industry X.0 Innovation Center in Essen, Germany, to help resources companies in the chemicals, metals, mining, utilities, ...",diana.buechner@accenture.com,,,,,
Tech hubs in Essen,The new Innovation Hub in town – and here to stay,https://bryck.com/stories/the-new-innovation-hub-in-town-and-here-to-stay/,"Feb 16, 2022 — BRYCK is the new innovation hub & future factory in Essen. Collaboration is at the heart of our mission. We amplify what's already ...",info@bryck.com,https://www.facebook.com/sharer/sharer.php?u=http://localhost:8080{{%20linkUrlPrefix%20}}/stories/the-new-innovation-hub-in-town-and-here-to-stay,https://www.instagram.com/bryckdotcom/,https://twitter.com/intent/tweet?url=http://localhost:8080{{%20linkUrlPrefix%20}}/stories/the-new-innovation-hub-in-town-and-here-to-stay,,
Artificial intelligence in Bremen,Home - JUST ADD AI,https://justadd.ai/en/,EXCELLENCE IN APPLIED AI · Generative AI (LLMs) · Process Automation · Knowledge Management · Object Recognition · Optimization and Control · Data Analysis.,info@justadd.ai,,,https://twitter.com/just_add_ai,,
Digital marketing in Bremen,construktiv: Agentur für digitales Marketing,https://www.construktiv.de/,"Ihre Agentur für SEO & SEA ✓ Social Media ✓ Webentwicklung ✓ Content, Fotografie & Video ✓ Corporate Publishing. Hier mehr erfahren!",info@construktiv.de,https://www.facebook.com/policy.php/,https://help.instagram.com/519522125107875,,,
Tech innovation in Hannover,CANCOM | Ihr Partner für digitale Evolution,https://www.cancom.de/,"Cross-sectional technology to increase productivity and innovation. ... Securely generate, analyze and interpret data volumes. ... Designing digital workplaces to ...",name@unternehmen.de,https://www.facebook.com/CANCOM,https://www.instagram.com/cancom.se/,https://twitter.com/privacy,,
IT recruitment in Dresden,169 Cloud-Computing it Jobs and positions in Dresden,https://en.itsax.de/IT-professionals?locale=en&page=15&q=Cloud-Computing+Dresden+it,Here you find 169 Jobs and positions to Cloud-Computing it in Dresden. Add matching Cloud-Computing it Jobs and positions in Dresden to your saved list.,support@itsax.de,,,,,
Enterprise solutions in Dresden,The Secret Sauce to NTT DATA Business Solutions ...,https://intap-network.de/ntt-data-secret-sauce-employer-branding/,Database-Specialist Rishav Sharma came to Germany from India. NTT DATA Business Solutions supported him with his and his family's relocation to Dresden. intap: ...,info@intap-network.de,https://www.facebook.com/intapnetwork,https://instagram.com/intapnetwork,,,
Tech innovation in Hannover,Home | Sonova International,https://www.sonova.com/en,"Every day, we push the boundaries of audio technology ... Sonova Stories. Latest. Business. Engagement. Innovation. Responsibility. Latest, Business, Engagement ...",thomas.bernhardsgruetter@sonova.com,https://www.facebook.com/SonovaGlobal/,https://www.instagram.com/sonovagroup/,https://twitter.com/sonovagroup,,
Artificial intelligence in Bremen,New Centre for the Co-constructive Artificial Intelligence,https://aktuell.uni-bielefeld.de/2023/07/10/news-centre-for-the-co-constructive-artificial-intelligence/?lang=en,"Jul 10, 2023 — For the universities of Bielefeld, Bremen, and Paderborn, the cross-location centre means increased visibility for their respective and joint ...",medien@uni-bielefeld.de,,,,,
Enterprise solutions in Dresden,"J & J Business Solutions, LLC - Bookkeeping, Consulting",https://jjbusinessolutions.com/,Business and Management Consultant with 20 years of experience in several industries. Also offers reasonable prices for bookkeeping and accounting services!,info@indiantypefoundry.com,,,,,
Digital marketing in Bremen,Top 10 Best Content Marketing Company in Bremen Germany ...,https://mail.seofirststep.in/top-10-best-content-marketing-company-in-bremen-germany/,1- Content Flash · 2- AdNord Media GmbH · 3- MBA-Media| Social Media Agentur · 4- HECHT INS GEFECHT – Digitalagentur für Webdesign & SEO · 5- Admospherics · 6- ...,info@SeoFirstStep.in,,,,,
Enterprise solutions in Dresden,"Good Sense Business Solutions - Boise, ID",https://www.yelp.com/biz/good-sense-business-solutions-boise-3,"Good Sense Business Solutions. Tax Services, Accountants. Closed • 9:00 ... 4491 N Dresden Pl. Ste 103. Boise, ID 83714. Directions. (208) 639-1477. Call Now.",default_user_avatar_64x64_v2@2x.yji,,,,,
Digital marketing in Bremen,"Digital Marketing in Bremen,IN - Local Services - Sulekha",https://localservices.sulekha.com/web-app-service/digital-marketing-in-bremen-in,"There are no Digital Marketing listed in Bremen, IN. . Are you providing Web & App service?",us.sulekha@sulekha.com,http://www.facebook.com/Sulekha.comUS,https://www.instagram.com/sulekha_us/,https://twitter.com/share?url=https://homes.sulekha.com/yorba-linda-ca/realtors/paresh-merchant_26932,,
IoT solutions in Dresden,"The Road to embedded world '23: Dresden, Germany, ...",https://embeddedcomputing.com/technology/open-source/development-kits/the-road-to-embedded-world-23-dresden-germany-metirionic,"Jan 16, 2023 — In Slaughterhouse 5, Vonnegut used his real-life WW2 Dresden ... IoT & Connectivity Networking & 5G Open Source Processing Security Software & OS ...",Rich.Nass@OpenSysMedia.com,https://www.facebook.com/Embedded.Computing.Design,https://www.instagram.com/embeddedcomputingdesign/,https://twitter.com/embedded_comp,,
Enterprise solutions in Dresden,Business Consulting in Germany,https://lawyersgermany.com/business-consulting-in-germany/,"Dec 4, 2024 — You can contact our German law firm for business customized business solutions. ... Legal Services in Dresden · Legal Services in Düsseldorf.",clients@lawyersgermany.com,https://www.facebook.com/profile.php?id=100069276600957,,,,
Artificial intelligence in Bremen,"""KI, was geht?"" @ Universum® Bremen with exhibits from ...",https://www.imaginary.org/event/ki-was-geht-universumr-bremen-with-exhibits-from-imaginary,"The special exhibition “KI, was geht?” at Universum® Bremen invites visitors to explore various facets of Artificial Intelligence.",info@imaginary.org,https://www.facebook.com/imaginary.exhibition,https://www.instagram.com/imaginary.exhibition/,https://twitter.com/imaginary_math,,
Artificial intelligence in Bremen,LSC DiPH strongly represented at Bremen AI in Health ...,https://www.lsc-digital-public-health.de/en/press/item/52-lsc-diph-strongly-represented-at-bremen-ai-in-health-conference.html,"Sep 22, 2023 — For this purpose, the U Bremen Research Alliance, in cooperation with JUST ADD AI, the Transfer Center for Artificial Intelligence BREMEN.AI and ...",zeeb@leibniz-bips.de,,,https://twitter.com/LSCDiPH,,
IT recruitment in Dresden,Training at the SLUB Dresden,https://www.slub-dresden.de/en/our-profile/karriere-und-ausbildung/ausbildung-an-der-slub,"Unfortunately, there are no bookbinding or IT specialist positions available for the 2024 training year. Starting an apprenticeship with us means: pay according ...",buerger@saebig.de,https://www.facebook.com/SLUBdresden/,https://www.instagram.com/slub_dresden,,,
IoT solutions in Dresden,Major Smart City study on IoT-Infrastructures in eight ...,https://www.matchup-project.eu/news/major-smart-city-study-on-iot-infrastructures-in-eight-german-cities/,"Aug 3, 2020 — Cities: Bonn, Delbrück, Dresden, Haßfurt, Kaiserslautern, Paderborn, Solingen, Ulm, Wolfsburg ... (IoT) applications as part of modern and ...",efaubel@valencia.es,,,https://twitter.com/matchupEU,,
Enterprise solutions in Dresden,"Programming, software development near Dresden",https://www.tias.media/en/programming-software-development-and-enterprise-solutions,"Developments, programming from Dresden for the iPhone or other smartphones. Web-based solutions. Company websites are usually not just a business card.",ask@tias.media,,,,,
Digital marketing in Bremen,University of Bremen - Digital Media,https://www.msingermany.co.in/courses/university-of-bremen-digital-media-101616,"... , social media, and multimedia production. The program prepares graduates for careers in digital marketing, journalism, and content creation.",support@msingermany.co.in,https://facebook.com/,https://www.instagram.com/msingermany/,https://twitter.com/,,
