Keyword,Title,Detail_URL,Description,Email,Facebook,Instagram,Twitter,Tiktok,ErrorMessage
oil and gas companies in Dubai,List of Top Oil and Gas Companies in Dubai,https://www.naukrigulf.com/oil-and-gas-companies-in-dubai,Top Oil and Gas Companies in Dubai · Alderley FZE · Borr Drilling · Cape Regional Services Dmcc · Dash Inspectorate Inspection Services · Deltachem Middle East ...,middleeast@naukrigulf.com,https://www.facebook.com/NaukriGulf,https://www.instagram.com/naukrigulfdotcom,https://twitter.com/Naukrigulf,,
oil and gas companies in Fujairah,Our Partners,https://foiz.gov.ae/partners,Our Partners · Abu Dhabi National Oil Company · Vopak Horizon Fujairah · VTTI Fujairah · BPGIC · Fujairah Oil Terminals FZC (FOT) · Mount Row Terminal FZE · MENA ...,info@foiz.gov.ae,https://www.facebook.com/foiz.fuj.uae/,https://www.instagram.com/foiz.uae/,https://twitter.com/FOIZ_UAE,,
oil and gas companies in Abu Dhabi,List of Top Oil and Gas Companies in Abu Dhabi,https://www.naukrigulf.com/oil-and-gas-companies-in-abu-dhabi,Abu Dhabi Gas Industries Limited · Abu Dhabi Marine Operating Company (ADMA-OPCO) · Abu Dhabi National Oil Company (ADNOC) · Abu Dhabi Oil Refining Company ...,middleeast@naukrigulf.com,https://www.facebook.com/NaukriGulf,https://www.instagram.com/naukrigulfdotcom,https://twitter.com/Naukrigulf,,
oil and gas companies in Umm Al Quwain,Top Oil and Gas Companies List in Umm Al Quwain,https://www.yellowpages-uae.com/uae/umm-al-quwain/oil-and-gas,"List of oil and gas companies in Umm Al Quwain, petroleum product companies in Umm Al Quwain, Oilfield services companies in Umm Al Quwain, lube and oil ...",sales@yp-uae.com,https://www.facebook.com/YPUAE/?fref=ts,https://www.instagram.com/yellowpagesuae/,,,
oil and gas companies in Ras Al Khaimah,Top Oil and Gas Companies List in Ras Al Khaimah,https://www.yellowpages-uae.com/uae/ras-al-khaimah/oil-and-gas,"Oil And Gas Companies in Ras Al Khaimah · Brothers Gas, Ras Al Khaimah, Contact: 07-2432429 · Nexus Prime International Trading FZ LLC, Ras Al Khaimah, Contact: ...",sales@yp-uae.com,https://www.facebook.com/YPUAE/?fref=ts,https://www.instagram.com/yellowpagesuae/,,,
oil and gas companies in Fujairah,Gas Companies - Fujairah | List of Oil and Gas Industries,https://www.yellowpages-uae.com/uae/fujairah/gas-companies,Gas Companies in Fujairah - Top Suppliers and Brands Fujairah · Al Helal Al Khaseeb Gas Piping LLCMore Info · Brothers GasMore Info · Emirates Industrial Gases ...,sales@yp-uae.com,https://www.facebook.com/YPUAE/?fref=ts,https://www.instagram.com/yellowpagesuae/,,,
oil and gas companies in Al Ain,Gas Companies in Al Ain - Top Suppliers and Brands UAE,https://www.yellowpages-uae.com/uae/al-ain/gas-companies,"Abu Dhabi Oxygen Co, Al Ain, Contact: 03-7215790 · Al Atas Indl Gas Establishment, Al Ain, Contact: 03-7213828 · International Gas Services Est (SERGAS), Al Ain, ...",sales@yp-uae.com,https://www.facebook.com/YPUAE/?fref=ts,https://www.instagram.com/yellowpagesuae/,,,
oil and gas companies in Abu Dhabi,38 Oil & Gas Companies in Abu Dhabi,https://www.ambitionbox.com/oil-and-gas-companies-in-abu-dhabi,Oil & Gas Companies in Abu Dhabi · Oil And Natural Gas Corporation · Petrofac · Schlumberger · Linde India · Baker Hughes · NBTC GROUP · ADNOC · Arabian ...,support@ambitionbox.com,,,,,
oil and gas companies in dammam,Alkhorayef Petroleum - Oil & Gas Services Company in KSA,https://www.alkhorayef.com/?company=alkhorayef-petroleum,Alkhorayef Petroleum is a Saudi owned Oil and Gas Services Company with operations across 3 continents and headquartered in Dammam.,marketing@alkhorayef.com,https://www.facebook.com/AlkhorayefG,,https://twitter.com/alkhorayefgroup,,
oil and gas companies in Al Ain,Al Ain Oil Field Services,http://www.alaingroup.com/al-ain-oil-field-services/,"Al Ain Oilfield Services Co. LLC is a partnership company, located at # 203 Al Ain Tower, Hamdan Street, Abu Dhabi, since inception on the 30th of December ...",info@alaingroup.com,https://www.facebook.com/,,https://twitter.com/,,
oil and gas companies in Kuwait,Kuwait Oil and Gas Company List,https://www.mordorintelligence.com/industry-reports/kuwait-oil-and-gas-market/companies,Top 5 Kuwait Oil and Gas Companies · Kuwait Petroleum Corporation (KPC) · Boubyan Petrochemical Company · Royal Dutch Shell PLC · Chevron Corporation · BP PLC.,info@mordorintelligence.com,https://www.facebook.com/MordorIntel,https://www.instagram.com/mordorintel/,https://twitter.com/mordorintel,,
oil and gas companies in Dubai,49 Oil & Gas Companies in Dubai - AmbitionBox,https://www.ambitionbox.com/oil-and-gas-companies-in-dubai#:~:text=49%20Oil%20%26%20Gas%20Companies%20in%20Dubai%20%7C%20AmbitionBox,,support@ambitionbox.com,,,,,
oil and gas companies in Al Ain,Oil and gas company - Al Ain - Yango Maps,https://maps.yango.com/en-ae/109035/al-ain/category/oil_and_gas_company/184106690/,"Zahrat Al Emarat Oil Change Shop. Oil and gas company · 8, Ash Shallal 3 Street, Sanaiya, Al Ain, Abu Dhabi. Naseem Al Badia Natural Oil Trading.",maps@yango.com,,,,,
oil and gas companies in Abu Dhabi,UAE Oil And Gas Company List - Mordor Intelligence,https://www.mordorintelligence.com/industry-reports/united-arab-emirates-oil-and-gas-market/companies,,info@mordorintelligence.com,https://www.facebook.com/MordorIntel,https://www.instagram.com/mordorintel/,https://twitter.com/mordorintel,,
oil and gas companies in Fujairah,Vopak Horizon Fujairah,https://www.vopak.com/terminals/vopak-horizon-fujairah?language_content_entity=en,"Vopak Horizon Fujairah handles the full spectrum of petroleum products such as Mogas, Reformate, Naphtha, Pygas, Gasoil, MTBE, Condensate, Fuel Oil, Jet Fuel, ...",global.communication@vopak.com,,,,,
oil and gas companies in dammam,Oil & Gas | Portfolio | Al-Othman Holding,https://www.al-othman.com/en/oil-and-gas,"A Saudi Arabian company established in 2006, GO-Tech specializes in the Oil & Gas industry within the Kingdom and is a registered vendor with Saudi ARAMCO.",info@al-othman.com,https://www.facebook.com/pages/AlOthman-Holding/1492267767733144,https://instagram.com/alothman.holding/,https://twitter.com/alothmanholding,,
oil and gas companies in Fujairah,"Oil & Gas Supplier Companies in Fujairah, UAE - Dubai",https://www.atninfo.com/uae/fujairah/oil-gas-services-1051,"Oil & Gas Supplier Companies in Fujairah, UAE · Al Akkamiya · EMIROIL CO FZE · ETCO FZE · LIMA OIL SERVICES CO. LTD FZC · Metro Oil Corp · OIL SMART TECHNOLOGY ...",info@atninfo.com,https://www.facebook.com/p/ATN-Media-Concept-LLC-100076383832507/,https://www.instagram.com/atninfo/,https://www.twitter.com/atnmedia,,
oil and gas companies in Kuwait,Kuwait - Oil and Gas - International Trade Administration,"https://www.trade.gov/country-commercial-guides/kuwait-oil-and-gas#:~:text=The%20Kuwait%20Oil%20Company%20(KOC,and%20responsible%20for%20oil%20production.&text=Responsible%20for%20exploration%20and%20production%20of%20oil%20and%20gas%20within%20Kuwait.",,lauren.westcott@trade.gov,https://www.facebook.com/TradeGov,,https://twitter.com/SelectUSA,,
oil and gas companies in dammam,Safari Oil & Gas company Ltd.,https://www.safarioilgas.com/,"Safari Oil & Gas (SOG) is a diversified supplier of products and services to the oil and gas, water, and petrochemical industries in the Kingdom of Saudi Arabia ...",info@safarioilgas.com,,,,,
oil and gas companies in Abu Dhabi,Top Oil and Gas Companies in Abu Dhabi,https://spinnsol.com/news/oil-and-gas-companies-in-abu-dhabi/,LIST OF TOP 5 OIL & GAS COMPANIES IN ABU DHABI – UAE · #1. ABU DHABI NATIONAL OIL COMPANY (ADNOC) · #2. WEATHERFORD · #3. SNC-LAVALIN · #4. HALLIBURTON – UAE.,sales@spinnsol.com,https://www.facebook.com/Spinnsol-101363705017085/,https://www.instagram.com/spinnsol/,https://twitter.com/spinnsol,,
oil and gas companies in dammam,Dammam - Gilmore,https://www.gilmore.com/locations/dammam/,"We provide expertise to service and support assets across the Kingdom's oil and gas install base, supporting Saudi Aramco and leading companies.",INFO@gilmore.com,,https://www.instagram.com/gilmoreproducts,https://twitter.com/gilmoreproducts,,
oil and gas companies in Kuwait,Kuwait - Oil and Gas,https://www.trade.gov/country-commercial-guides/kuwait-oil-and-gas,"Dec 30, 2023 — Kuwait Oil Company (KOC). Responsible for exploration and production of oil and gas within Kuwait. It is the largest state-owned oil company by ...",lauren.westcott@trade.gov,https://www.facebook.com/TradeGov,,https://twitter.com/SelectUSA,,
oil and gas companies in Abu Dhabi,Abu Dhabi National Oil Company,https://www.worldbenchmarkingalliance.org/publication/oil-and-gas/companies/abu-dhabi-national-oil-company/,"Abu Dhabi National Oil Company (ADNOC) ranks 83rd with an ACT rating of 0.7E-, a just transition score of 1.3/20 and a core social score of 1.5/20.",hello@worldbenchmarkingalliance.org,https://www.facebook.com/worldbenchmarkingalliance/,https://www.instagram.com/worldbenchmarkingalliance/?hl=en,https://twitter.com/SDGBenchmarks,,
oil and gas companies in Manama,List of Oil & Energy Companies In Bahrain In 2025,https://aeroleads.com/list/top-oil-&-energy-companies-in-bahrain,"List of Oil & Energy Companies In Bahrain In 2025 · Bahrain Petroleum Company · Tatweer Petroleum · Electricity And Water Authority, Bahrain · Ramsis Engineering Co ...",hello@aeroleads.com,https://www.facebook.com/aeroleads,,https://twitter.com/AeroLeads_,,
oil and gas companies in Ajman,Gas Companies in Ajman - Top Suppliers and Brands UAE,https://www.yellowpages-uae.com/uae/ajman/gas-companies,Gas Companies in Ajman - Top Suppliers and Brands UAE · Pure Gas Supply LLC · Al Fajer Gas Supply LLCMore Info · Bin Sidra National Petrogas ...,sales@yp-uae.com,https://www.facebook.com/YPUAE/?fref=ts,https://www.instagram.com/yellowpagesuae/,,,
oil and gas companies in dammam,Abdulla Fouad Energy Services,https://www.abdulla-fouad.com/products-services/energy-services.html,"Established: 2014, Dammam, Kingdom of Saudi Arabia. About Us. As a supplier of high-end products and services to the oil & gas, and petrochemical industries ...",info@abdulla-fouad.com,https://www.facebook.com/AbdullaFouadGroup,,https://twitter.com/AbdullaFouadCom,,
oil and gas companies in Muscat,List of Top Oil and Gas Companies in Muscat,https://www.naukrigulf.com/oil-and-gas-companies-in-muscat,Top Oil and Gas Companies in Muscat · Al Ghubra Talent Hunter · Arabian Industries LLC · Grand Drilling Petroleum Service · Pipeline Supply Company · Special ...,middleeast@naukrigulf.com,https://www.facebook.com/NaukriGulf,https://www.instagram.com/naukrigulfdotcom,https://twitter.com/Naukrigulf,,
oil and gas companies in Fujairah,Fujairah Oil Terminal,https://fot.ae/,FZC (FOT) is a world class 1.177 million cubic meters onshore oil storage facility based in the rapidly developing port of Fujairah.,info@fot.ae,https://www.facebook.com/,https://www.instagram.com/,,,
oil and gas companies in Manama,Gulf Sea Petroleum,http://gsppetroleum.com/,Gulf Sea Petroleum is the most diversified petroleum marketing company in the Kingdom of Bahrain dealing with Petroleum products for Industrial and Commercial ...,chairman@gsppetroleum.com,,,,,
oil and gas companies in Doha,Qatar Oil and Gas Companies (2024 - 2029),https://www.mordorintelligence.com/industry-reports/qatar-oil-and-gas-market/companies,"Qatargas Operating Company Limited, QatarEnergy, ConocoPhillips Company, Exxon Mobil Corporation and TotalEnergies SE are the major companies operating in the ...",info@mordorintelligence.com,https://www.facebook.com/MordorIntel,https://www.instagram.com/mordorintel/,https://twitter.com/mordorintel,,
oil and gas companies in Manama,"AGAS International - Manama, Bahrain",https://www.oilandgasdirectory.com/profile/details/31690/AGAS-International.html,"AGAS INTERNATIONAL the flagship company of the AGAS group, owns and operates a 300,000 MT per annum capacity Fuel Oil production plant located adjacent to the ...",alfajrdd@eim.ae,https://www.facebook.com/oilandgasdirectory,,https://twitter.com/OGDME,,
oil and gas companies in Al Ain,"ENOC - Emirates National Oil Company ,U.A.E",http://www.enoc.com/en/,Emirates National Oil Company Group (ENOC) is a leading integrated global oil and gas player operating across the energy sector value chain.,media@enoc.com,https://www.facebook.com/enoc/,https://www.instagram.com/enocofficial/,https://twitter.com/ENOC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,
oil and gas companies in Muscat,Best Oil And Gas Companies in Oman,https://www.yellowpages.om/yp/category/oil-and-gas,Oman Metal Industries & Contracting Co LLC · Special Technical Services LLC · Special Oilfield Services Co. LLC · Oman Oil Marketing Company · Petroleum Development ...,farooq@yellowpages.om,,,,,
oil and gas companies in Ajman,Home - Ajman Gas - Ajman Gas,https://ajmangas.net/,"Ajman Gas is a leading gas company in the United Arab Emirates, located in the city of Ajman. We provide a wide range of gas services, including LPG and ...",info@ajmangas.ae,https://www.facebook.com/profile.php?id=100090800964390,https://www.instagram.com/ajman_gas/,https://twitter.com/ajman_gas,,
oil and gas companies in Kuwait,Kuwait Petroleum Corporation(KPC),https://www.kpc.com.kw/,KPC is a global leader in the oil and gas industry as it retains a high position as a secure and reliable supplier.,info@kpc.com.kw,https://www.facebook.com/kpcofficialkw,https://www.instagram.com/kpcofficialkw/,,,
oil and gas companies in Kuwait,Kuwait Oil and Gas Upstream Top Companies,https://www.mordorintelligence.com/industry-reports/kuwait-oil-and-gas-upstream-market/companies,Kuwait Oil and Gas Upstream Top Companies · Kuwait Petroleum Corporation · Kuwait Energy PLC · Schlumberger Limited. · Baker Hughes Co. · Saudi Arabian Oil Co.,info@mordorintelligence.com,https://www.facebook.com/MordorIntel,https://www.instagram.com/mordorintel/,https://twitter.com/mordorintel,,
oil and gas companies in Al Ain,Al Masaood Energy,https://www.almasaoodenergy.me/,"Founded in 1971, Al Masaood Energy (formerly known as Al Masaood Oil & Gas) is one of the first established oil and gas suppliers and contractors in the UAE.",enquiry@amenergy.me,https://www.facebook.com/almasaoodenergy,https://www.instagram.com/almasaoodenergy/,https://twitter.com/almasaoodenergy,,
oil and gas companies in Fujairah,Fujairah Oil Industry Zone,https://foiz.gov.ae/,FOIZ is entrusted to optimize the value of the Oil and Gas industry in Fujairah by developing and regulating all aspects of the hydrocarbon industry.,info@foiz.gov.ae,https://www.facebook.com/foiz.fuj.uae/,https://www.instagram.com/foiz.uae/,https://twitter.com/FOIZ_UAE,,
oil and gas companies in Riyadh,Top 10 Oil and Gas Companies in Saudi Arabia | 2025,https://www.blackridgeresearch.com/blog/top-oil-and-gas-companies-kingdom-of-saudi-arabia-ksa-sa,"Dec 24, 2024 — Table of Contents · 1. 10 Largest Oil and Gas Companies in Saudi Arabia (Based on Revenue 2023) · 2. Saudi Aramco · 3. Saudi Arabian Chevron Inc ...",info@blackridgeresearch.com,https://www.facebook.com/blackridgeresearch/,https://www.instagram.com/blackridgehq,https://twitter.com/BlackridgeHQ,,
oil and gas companies in Al Ain,شركة العين للخدمات النفطية ذ.م.م. – ALAIN OIL SERVICES CO ...,https://aos-kwt.com/,"Al Ain Oil Services Company (AOS) was founded with a goal of offering Calibration, Inspection, certification, Training & Consultation services.",info@aos-kwt.com,,,,,
oil and gas companies in Kuwait,List of Oil And Gas Companies In Kuwait In 2025,https://aeroleads.com/list/top-oil-and-gas-companies-in-kuwait,List of Oil And Gas Companies In Kuwait In 2025 · Kuwait Petroleum Corporation · Petrochemical Industries · United Gulf Construction Company · Kuwait National ...,hello@aeroleads.com,https://www.facebook.com/aeroleads,,https://twitter.com/AeroLeads_,,
oil and gas companies in Manama,World Energy Directory – oil & gas field services–,https://www.worldenergynews.com/companies/category-oil_~26_gas_field_services/city-manama/country-bahrain,"Oil & Gas Field Services– Manama– Bahrain Companies:MIDDLE EAST TRADING & ENG EST, OCCIDENTAL OF BAHRAIN -OFFSHORE-LLC, TATWEER PETROLEUM BAHRAIN FIELD.",trauthwein@marinelink.com,https://www.facebook.com/WorldEnergyNews,,https://twitter.com/OilGasDaily,,
oil and gas companies in Ajman,Gulf Petroleum,https://www.gulf-petroleum.com/,"Gulf Petroleum considered one of the Major Private Trading Companies for petroleum refined products such as (Gas oil, Fuel oil, Naptha, Asphalt, Base oil ... etc)",info@gulf-petroleum.com,https://www.facebook.com/,,https://twitter.com/,,
oil and gas companies in Umm Al Quwain,Oil & Gas Exploration & Development Umm Al Quwain,https://www.yellowpages-uae.com/uae/umm-al-quwain/oil-and-gas-exploration-and-development,Abu Dhabi Company for Onshore Oil Operations (ADCO)More Info · Abu Dhabi Gas Liquefaction Company Limited (ADGAS)More Info · Adnoc Linde ...,sales@yp-uae.com,https://www.facebook.com/YPUAE/?fref=ts,https://www.instagram.com/yellowpagesuae/,,,
oil and gas companies in Riyadh,Alkhorayef Petroleum - Oil & Gas Services Company in KSA,https://www.alkhorayef.com/?company=alkhorayef-petroleum,Alkhorayef Petroleum is a Saudi owned Oil and Gas Services Company with operations across 3 continents and headquartered in Dammam.,marketing@alkhorayef.com,https://www.facebook.com/AlkhorayefG,,https://twitter.com/alkhorayefgroup,,
oil and gas companies in Abu Dhabi,Oil & Gas - Altrad Adyard AbuDhabi LLC,https://www.adyardabudhabi.com/our-sectors/oil-gas-2/,Adyard is one of the leading contractors who provides of services to the oil and gas industry in the United Arab Emirates (UAE) and continuously delivering and ...,adyard.abudhabi@altrad.com,,,,,
oil and gas companies in Umm Al Quwain,Oil and gas company - Umm al-Quwain - Yango Maps,https://maps.yango.com/en-ae/108901/umm-al-quwain/category/oil_and_gas_company/184106690/,"Find the best oil and gas companies with addresses, phone numbers, reviews, and business hours. See which ones are open 24/7 and easiest to get to.",maps@yango.com,,,,,
oil and gas companies in Muscat,Oman,https://ognnews.com/OGNLinks?Country=Oman,"Dalma Energy & Company Department: · Petrogas Address: Way No 682 Building 1742 ,18 November Street Al Atheba city, Area 353, Muscat Oman · Oman Methanol Company ...",hilalad@tradearabia.net,https://www.facebook.com/OGNOnline/,,https://twitter.com/OGN_Online,,
oil and gas companies in Al Ain,Dolphin Energy Limited | Natural Gas Suppliers in UAE and ...,https://www.dolphinenergy.com/,"Dolphin Energy Limited processes, produces, and supplies natural gas in Qatar. It transports refined methane gas to utilities and industries in the United ...",info@dolphinenergy.com,,,,,
oil and gas companies in Riyadh,Top Oil and Gas Companies in Saudi Arabia 2024,https://qualityleadersgroup.com/oil-and-gas-companies-in-saudi-arabia/,"Sep 29, 2024 — Major Oil and Gas Companies in Saudi Arabia · Saudi Aramco · Jacobs Engineering Group · Sinopec International Petroleum Service Corporation ( ...",info@qualityleadersgroup.com,,,,,
oil and gas companies in Al Ain,About Us – شركة العين للخدمات النفطية ذ.م.م. – ALAIN OIL ...,https://aos-kwt.com/about/,"Al Ain Oil Services Company (AOS) was founded with the goal of offering Calibration, Inspection, Certification, Training & Consultation services.",info@aos-kwt.com,,,,,
oil and gas companies in Jeddah,Top 10 Oil and Gas Companies in Saudi Arabia | 2025,https://www.blackridgeresearch.com/blog/top-oil-and-gas-companies-kingdom-of-saudi-arabia-ksa-sa,"Dec 24, 2024 — Saudi Aramco (Saudi Arabian Oil Company / Saudi Arabian oil co) is the largest oil and gas company in Saudi Arabia.",info@blackridgeresearch.com,https://www.facebook.com/blackridgeresearch/,https://www.instagram.com/blackridgehq,https://twitter.com/BlackridgeHQ,,
oil and gas companies in Abu Dhabi,Petrolcom UAE: Oil & Gas Company in Abu Dhabi UAE,https://petrolcomuae.com/,"PETROLCOM Oil and Gas Services is a highly reputed Oil & Gas supply/service company based in Abu Dhabi, UAE.",enquiry@petrolcomuae.com,,,https://twitter.com/,,
oil and gas companies in Fujairah,Oil and Gas Trading - Fujairah,https://www.ecomar.ae/service/oil-and-gas-trading/,"OIL Trading​​ Ecomar is a consumer orientated business offering the highest quality products at the right price, together with our highly effective service. We ...",info@ecomar.ae,,,,,
oil and gas companies in Riyadh,List of Top Oil and Gas Companies in Saudi Arabia,https://www.naukrigulf.com/oil-and-gas-companies-in-saudi-arabia,Top Oil and Gas Companies in Saudi Arabia · Abdulla Fouad Holding · Abunayyan Holding · Arabian Drilling Company · Baas International Group · Fugro Suhaimi ...,middleeast@naukrigulf.com,https://www.facebook.com/NaukriGulf,https://www.instagram.com/naukrigulfdotcom,https://twitter.com/Naukrigulf,,
oil and gas companies in dammam,Top 10 Oil and Gas Companies in Saudi Arabia | 2025,"https://www.blackridgeresearch.com/blog/top-oil-and-gas-companies-kingdom-of-saudi-arabia-ksa-sa#:~:text=Saudi%20Aramco%20(Saudi%20Arabian%20Oil,oil%20company%20in%20Saudi%20Arabia.",,info@blackridgeresearch.com,https://www.facebook.com/blackridgeresearch/,https://www.instagram.com/blackridgehq,https://twitter.com/BlackridgeHQ,,
oil and gas companies in Kuwait,List of Top 10 Oil and Gas Companies in Kuwait [2025],https://blackridgeresearch.com/blog/latest-list-of-top-upstream-downstream-oil-and-gas-companies-kuwait,"Jan 17, 2025 — The subsidiaries, Kuwait Oil Company and Kuwait National Petroleum Company (KNPC), run the country's upstream and downstream operations. The ...",info@blackridgeresearch.com,https://www.facebook.com/blackridgeresearch/,https://www.instagram.com/blackridgehq,https://twitter.com/BlackridgeHQ,,
oil and gas companies in Jeddah,Top Oil and Gas Companies in Saudi Arabia 2024,https://qualityleadersgroup.com/oil-and-gas-companies-in-saudi-arabia/,"Sep 29, 2024 — Major Oil and Gas Companies in Saudi Arabia · Saudi Aramco · Jacobs Engineering Group · Sinopec International Petroleum Service Corporation (SIPSC) ...",info@qualityleadersgroup.com,,,,,
oil and gas companies in Kuwait,Oil and Gas Companies in Kuwait,https://coresignal.com/discover/oil-and-gas/kuwait/,"Database of Oil and Gas companies in Kuwait, providing rich {industry} company profiles, ready for seamless API integration or instant download.",info@example-company.com,,,,,
oil and gas companies in Muscat,Allied Oil & Gas Services LLC | Solution for a Powerful Future,https://aogsoman.com/,"Explore Our Products ... Allied Oil & Gas Services LLC caters services to Oil & Gas, Power, Mining, Education and Defense sectors of the Sultanate of Oman.",Jacob@aogsoman.com,,,,,
oil and gas companies in Riyadh,Top Oil & Gas companies in Saudi Arabia by EBITDA Margin,https://stockviz.com/en/ranking-of-saudi-arabia-stocks-in-oil-gas-by-ebitda-margin,The Oil & Gas company in Saudi Arabia with the highest EBITDA Margin is Saudi Advanced Industries Company (Saudi Stock Exchange: 2120.SR) at 90.16%.,support@stockviz.com,https://www.facebook.com/stockvizcom/,https://www.instagram.com/stockviz_com/,https://twitter.com/StockViz_Com,,
oil and gas companies in Doha,NIMR Oil - Leading National Oil & Gas Service provider in Qatar,https://nimroil.com/,"NIMR Oil is a leading national Oil & Gas service provider with comprehensive service solutions to upstream, midstream and downstream segments.",ramshid.work@gmail.com,https://www.facebook.com/NIMR-Oil-106321054424257/,,,,
oil and gas companies in Abu Dhabi,Oil & Gas - Altrad Adyard AbuDhabi LLC,https://www.adyardabudhabi.com/our-sectors/oil-gas-2/,Altrad Adyard Services offers a wide range of critical services to the Oil & Gas onshore industry and to the petrochemical sector. We have taken part in a ...,adyard.abudhabi@altrad.com,,,,,
oil and gas companies in Fujairah,Oil and Gas,https://www.fnct.ae/oil-and-gas/,Oil and Gas · Client : GPS · Client : GPS Chemoil · Client : Socar Aurora Fujairah Terminal – Phase 1 & 2 · Client : IL & FS Prime Tank Terminal – Phase 1 · Client : ...,fnct@fng.ae,https://www.facebook.com/FNCTCompany,https://www.instagram.com/fnct_co/,https://twitter.com/FNCT14,,
